language,f_a,f_b,f_c,f_d,f_e,f_f,f_g,f_h,f_i,f_j,f_k,f_l,f_m,f_n,f_ñ,f_o,f_p,f_q,f_r,f_s,f_t,f_u,f_v,f_w,f_x,f_y,f_z,f_á,f_é,f_í,f_ó,f_ú,f_ü
English,0.0710059171597633,0.0236686390532544,0.044378698224852,0.0266272189349112,0.0887573964497041,0.014792899408284,0.0088757396449704,0.0325443786982248,0.0621301775147929,0.0,0.0,0.0266272189349112,0.0207100591715976,0.0650887573964497,0.0,0.0650887573964497,0.029585798816568,0.0,0.0621301775147929,0.044378698224852,0.0650887573964497,0.0207100591715976,0.0029585798816568,0.0207100591715976,0.0029585798816568,0.0088757396449704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0528301886792452,0.0113207547169811,0.0754716981132075,0.0075471698113207,0.090566037735849,0.0150943396226415,0.0113207547169811,0.0679245283018867,0.060377358490566,0.0,0.0,0.0226415094339622,0.0188679245283018,0.0528301886792452,0.0,0.0830188679245283,0.0113207547169811,0.0,0.0264150943396226,0.0679245283018867,0.0754716981132075,0.0150943396226415,0.0113207547169811,0.0226415094339622,0.0,0.0188679245283018,0.0037735849056603,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.1162790697674418,0.0290697674418604,0.0232558139534883,0.0465116279069767,0.0581395348837209,0.0174418604651162,0.005813953488372,0.0,0.0755813953488372,0.0,0.0,0.0581395348837209,0.0290697674418604,0.0348837209302325,0.0,0.0581395348837209,0.0348837209302325,0.0,0.0406976744186046,0.0581395348837209,0.0465116279069767,0.0174418604651162,0.0232558139534883,0.0,0.005813953488372,0.0,0.0,0.0,0.005813953488372,0.005813953488372,0.0116279069767441,0.005813953488372,0.0
English,0.0463576158940397,0.0066225165562913,0.0132450331125827,0.0331125827814569,0.1059602649006622,0.0397350993377483,0.0132450331125827,0.0529801324503311,0.0993377483443708,0.0,0.0,0.0596026490066225,0.0066225165562913,0.0728476821192053,0.0,0.0596026490066225,0.0,0.0,0.0397350993377483,0.0529801324503311,0.0596026490066225,0.0198675496688741,0.0132450331125827,0.0132450331125827,0.0,0.0264900662251655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.1010309278350515,0.0123711340206185,0.045360824742268,0.0329896907216494,0.090721649484536,0.0123711340206185,0.0164948453608247,0.0247422680412371,0.0618556701030927,0.0041237113402061,0.0061855670103092,0.0268041237113402,0.0123711340206185,0.0865979381443299,0.0,0.0556701030927835,0.0185567010309278,0.002061855670103,0.0701030927835051,0.0556701030927835,0.0577319587628866,0.0206185567010309,0.0061855670103092,0.0144329896907216,0.002061855670103,0.0061855670103092,0.002061855670103,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.0761421319796954,0.0033840947546531,0.0473773265651438,0.038917089678511,0.1201353637901861,0.0135363790186125,0.0169204737732656,0.0118443316412859,0.0304568527918781,0.0016920473773265,0.0,0.0710659898477157,0.0219966159052453,0.0642978003384094,0.0,0.0727580372250423,0.0169204737732656,0.0033840947546531,0.05414551607445,0.0372250423011844,0.0473773265651438,0.0219966159052453,0.0033840947546531,0.0,0.0,0.0287648054145516,0.0,0.0016920473773265,0.0016920473773265,0.0016920473773265,0.0016920473773265,0.0016920473773265,0.0
Spanish,0.0837209302325581,0.013953488372093,0.0441860465116279,0.027906976744186,0.1046511627906976,0.0046511627906976,0.013953488372093,0.0023255813953488,0.0534883720930232,0.0,0.0,0.0488372093023255,0.0186046511627906,0.0511627906976744,0.0,0.0697674418604651,0.013953488372093,0.0046511627906976,0.0581395348837209,0.0720930232558139,0.0395348837209302,0.0348837209302325,0.0093023255813953,0.0,0.0069767441860465,0.0093023255813953,0.0046511627906976,0.0023255813953488,0.0069767441860465,0.0046511627906976,0.0116279069767441,0.0,0.0
English,0.0650224215246636,0.0089686098654708,0.0201793721973094,0.0381165919282511,0.0874439461883408,0.0156950672645739,0.0134529147982062,0.0448430493273542,0.0896860986547085,0.0044843049327354,0.0067264573991031,0.0291479820627802,0.0156950672645739,0.0829596412556053,0.0,0.0515695067264574,0.0,0.0,0.0762331838565022,0.0493273542600896,0.0470852017937219,0.0224215246636771,0.0089686098654708,0.0156950672645739,0.0044843049327354,0.0179372197309417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0408163265306122,0.0153061224489795,0.0280612244897959,0.0191326530612244,0.0943877551020408,0.0165816326530612,0.0127551020408163,0.0625,0.072704081632653,0.0012755102040816,0.0012755102040816,0.024234693877551,0.0165816326530612,0.0599489795918367,0.0,0.0714285714285714,0.024234693877551,0.0,0.0637755102040816,0.0650510204081632,0.0676020408163265,0.0216836734693877,0.010204081632653,0.0127551020408163,0.0,0.0140306122448979,0.0012755102040816,0.0,0.0,0.0,0.0,0.0,0.0012755102040816
English,0.0699088145896656,0.0091185410334346,0.0395136778115501,0.033434650455927,0.1155015197568389,0.0212765957446808,0.0243161094224924,0.0364741641337386,0.0516717325227963,0.0,0.0030395136778115,0.0486322188449848,0.0151975683890577,0.0516717325227963,0.0,0.060790273556231,0.0151975683890577,0.0,0.0547112462006079,0.0577507598784194,0.0729483282674772,0.0121580547112462,0.0030395136778115,0.0121580547112462,0.0,0.0121580547112462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
